time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,20.07,423.738,1072.702125,1530.075375
0.01,39.44977875,741.541073625,1717.46111798438,2506.28734139063
0.02,49.577306625,1007.1330109875,2064.64447447031,3049.69348084219
0.03,54.754477340625,881.126774502188,2100.68143810207,3180.62308909324
0.04,58.282356695625,700.323776128688,2082.54324901001,3204.8295069228
0.05,61.9884057821484,732.264464454645,2150.58844107263,3262.94160191438
0.06,64.4409759599367,781.662103621181,2183.14591485437,3272.26931251167
0.07,65.5227506868757,867.709915246026,2207.57778639102,3375.46160561964
0.08,66.3765453644822,831.785172205255,2048.98819260993,3225.73104116382
0.09,67.2061796931505,817.493492563857,1883.01932555014,3156.13318895526
0.1,67.6210089397097,732.223383478153,1855.39881734065,3131.32671039873
0.11,67.1522398515026,661.085635325402,1808.6933146583,3126.29524709214
0.12,67.1898430073907,768.031409730801,1891.70072262858,3292.56653565573
0.13,68.8521366280502,691.346419455447,1780.4272506448,3229.50073228844
0.14,71.416900365412,740.559663180346,1749.88873658629,3250.75825438959
0.15,74.6722425951484,770.862020905661,1704.32633296721,3235.70405443604
0.16,77.4757107441261,657.271247384173,1538.69956469658,3117.77551667679
0.17,79.8858893710063,577.871746736127,1359.99261794365,3050.74946062757
0.18,81.8595108080088,494.080297826028,1251.3579114173,2988.9327978956
0.19,83.3746134790803,477.737287033452,1396.75783094358,3015.75645709532
0.2,84.4796153075657,497.719153769424,1519.3037527092,3050.33468394143
0.21,85.4285573883677,491.805747551993,1265.28802279573,2986.08568290146
0.22,86.3603607466659,490.921009541942,1185.93248988077,2939.37133429933
0.23,87.2619741488513,513.823131861658,1218.70068916064,2919.47480708907
0.24,88.1431568128699,537.445164661386,1265.81708488777,2942.51224167243
0.25,89.0603462516294,547.668273114374,1319.68701240545,2917.67964888273
0.26,89.9063684408992,570.965303115741,1440.33804546745,2873.12579566509
0.27,90.4518314055397,601.993736664484,1581.70989522963,2915.46980479213
0.28,90.697431259307,601.379677890613,1529.32528005108,2863.14400823372
0.29,90.662301947562,613.127453151168,1493.58744006172,2794.29027685747
0.3,90.5660804363778,602.313148404374,1451.12047060244,2770.32447705252
0.31,90.5209652658781,603.302526166583,1507.59377923152,2759.45877069589
0.32,90.4309318354616,616.562623265919,1483.46054917243,2717.06554033209
0.33,90.4452399010797,614.298111427119,1447.42959899714,2736.63419435479
0.34,90.3635143663505,607.139048082798,1452.69840615006,2734.20584555641
0.35,89.9419283181412,602.625048954624,1380.1168505911,2689.97928787929
0.36,89.4454411791343,592.85120868004,1312.47571153982,2665.47400713641
0.37,88.99272229331,571.38274130177,1247.91433382749,2668.76494826656
0.38,88.3458798159529,562.173147306235,1213.94165446944,2677.13603593445
0.39,87.3412074288219,560.305547168073,1172.02621737107,2683.43620298977
0.4,86.2568339023784,558.520239199744,1104.92811863117,2700.28723304357
0.41,85.1477761876823,552.912962367069,1089.12576634296,2709.65447308472
0.42,84.1144490509811,547.334179995853,1091.07964959133,2719.36118864751
0.43,83.4290838468053,548.2418131294,1153.94140179422,2750.75682409164
0.44,83.213430143564,558.912034368595,1253.71244797226,2782.90344505993
0.45,83.1072759192619,560.108477771311,1312.22257591424,2777.0197418407
0.46,82.8593671427599,569.172067651942,1402.23649174405,2810.87176139414
0.47,82.517910090768,538.203406879528,1349.21451786137,2815.54771008213
0.48,81.8600620208996,532.060149571052,1413.82298235511,2832.08851076328
0.49,80.7061110455323,565.5674723846,1567.93380612505,2867.49869641476
0.5,79.1519521387634,583.593653127817,1706.28763707514,2915.84610030035
0.51,77.6719190738662,599.875091481757,1826.16929442982,2979.18020185242
0.52,77.7037173342769,594.444808058768,1935.45623553258,3003.0238735718
0.53,78.5759169853601,541.615439941413,1942.33202095831,2985.28626143113
0.54,79.4597032357785,481.742255613778,1838.485440472,2950.93732595928
0.55,79.9987350962978,476.670238962278,1888.96521793759,2985.87964157343
0.56,80.2540508771046,464.439596785338,1861.06093398856,2981.17200025309
0.57,80.143812035685,433.519198240283,1803.1795911488,2934.22315713994
0.58,79.5786815989293,429.522976286746,1906.99305398214,2949.75993527737
0.59,79.2535763055276,423.667364885235,2059.68961837034,2966.63661845778
0.6,79.3585996274042,404.030203547018,2179.50879887778,2961.25671238215
0.61,78.8553886589049,399.126038144177,2220.09845303694,2967.4751229255
0.62,77.6281511375057,397.417092885622,2189.25211793011,2965.37271097245
0.63,76.2280827444375,399.55358532307,2138.13426330444,2931.51315488473
0.64,75.0105821747858,407.189864507477,2085.91210583603,2909.84362280404
0.65,74.243653174572,437.545618585496,2098.28428270754,2940.19702448181
0.66,74.1586861341565,436.362820180534,2030.99387021289,2930.44156228177
0.67,74.2416508502425,412.833096886147,2007.46642518794,2913.53114407681
0.68,73.4229443739604,409.705987523291,2024.80241303741,2895.47645516414
0.69,72.7635863041582,391.91322915506,2047.9922210343,2875.28219928482
0.7,73.4628530114509,370.439897094771,2076.98484569391,2834.87341777615
0.71,74.4327847055882,350.396242484842,2112.54375558793,2792.8946164576
0.72,74.7493907651831,334.088788487158,2121.81636532431,2820.15728797608
0.73,74.694354655761,333.461859609209,2109.44410297889,2857.00039685776
0.74,74.861234608609,525.378263022454,2157.19595867784,2945.88347458307
0.75,75.0893432456306,609.831271872079,2114.44272020772,2931.80088131504
0.76,76.3087859760895,518.751324494994,2083.59707035344,2926.32488588516
0.77,77.3581726168952,414.35797689069,2048.01114046345,2888.12327350088
0.78,77.7104521208176,361.712491420023,2043.91024947788,2884.37214287071
0.79,77.9495457412886,332.123130052592,2026.87117506048,2918.01601536126
0.8,78.0428154238701,318.715600653294,1994.60871834946,2914.050728679
0.81,77.8658933355174,305.056224622558,1960.60761829848,2853.96077403374
0.82,77.6347810033484,295.769434137193,1935.41156782762,2803.33294976172
0.83,77.4893841821893,293.512801790088,1932.27996976259,2771.43692965518
0.84,77.3188063468953,292.943138142596,1904.71147184599,2728.34337406778
0.85,77.4791310789726,286.764164415354,1876.92780786491,2750.18365931637
0.86,77.838912766934,278.223302818754,1874.83765466799,2787.8077445925
0.87,77.8248648179245,374.790657811534,1936.32864329304,2866.86096414302
0.88,77.5315750934744,527.302287068719,2016.62626953265,2944.18150427476
0.89,76.8625056828997,588.825753662602,2018.24588813977,2981.28296742398
0.9,76.1086360354136,620.443260940575,2001.01652167012,2998.07317287326
0.91,76.0904822948778,656.335488114195,1981.38273579985,2999.71565720233
0.92,76.177002498653,665.778662991091,1939.60698657463,2981.8518693784
0.93,75.7653074793178,654.421228823156,1890.95118109013,2953.84041220004
0.94,75.3240365890723,650.001855561287,2030.5239501621,3020.37517219116
0.95,74.5380633678439,653.348678955082,2088.71712635903,3022.07250685949
0.96,73.3014905114339,662.044767418301,2100.1490340709,2989.77281545761
0.97,72.4469753938045,587.395657838719,2050.23735362938,2902.67281524088
0.98,72.0713883034762,469.187942728554,1945.61599868587,2823.36739258904
0.99,71.612778014698,400.436103630198,1874.05494314407,2848.65547430008
1,70.8222121043662,557.95336756783,1977.853447856,2977.2858467219
1.01,69.8101364080268,654.929652141351,2039.00564894415,3078.24861832499
1.02,69.2360933872587,693.851286166217,2050.72627086212,3111.19083027412
1.03,68.6821145875565,739.036912197581,2123.26778258023,3183.49989063322
1.04,67.5518671716664,856.324443727057,2210.47394140246,3321.45822166362
1.05,66.6536057885972,957.858426534995,2272.45855037469,3442.25239660093
1.06,66.2398740480278,927.65594871106,2316.96995563791,3431.11053170778
1.07,65.6521598617253,787.860158171943,2145.29794915898,3360.13454580228
1.08,64.5513617118092,727.245508544816,2105.7108841346,3380.9389948072
1.09,63.3691442123182,824.102378114785,2259.28943948997,3463.12722668273
1.1,62.7517317157278,754.728755841457,2176.39942598825,3413.60460467183
1.11,62.6801287630743,795.296579545881,2188.37267126636,3416.98699969248
1.12,62.8699990453741,666.710798233424,2099.36539015655,3336.0629973735
1.13,63.2297393740815,695.79329243164,2167.98434986413,3361.53531814138
1.14,63.3665486419082,805.191426397657,2296.72152438231,3464.33874014335
1.15,63.1105608568916,819.773146934928,2308.06295847028,3462.46784934683
1.16,62.6581047284035,998.85051889313,2436.94526819166,3580.25245851315
1.17,62.4855924170342,1077.80661570963,2532.04005319856,3691.95991587455
1.18,62.5432337283955,1181.23894281542,2674.31851239044,3862.50796876177
1.19,62.4248972700822,1216.0826945948,2725.73350659942,3891.0691954609
1.2,62.5483762942508,1062.04177447761,2587.88879726126,3618.75590445656
1.21,62.6919747419139,1355.76185008521,2810.81916939537,3979.25055949816
1.22,62.6954133870944,1268.41981081425,2680.63838766337,3902.54064184986
1.23,59.078831116375,1119.1733875574,2431.04079925012,3598.97837897416
1.24,52.3674598034164,1078.52294166683,2248.11362565695,3307.12105458699
1.25,49.1782243710546,952.482736722398,2051.33199551199,3066.48990353101
1.26,48.6026177176266,768.618144290421,1906.15606330196,2799.03659362154
1.27,49.3011955550276,867.132612510759,1973.3032768606,2783.18959483013
1.28,48.935689770119,920.759502428782,2025.89334469947,2429.1724913299
1.29,47.6785364667351,950.917300824656,2042.25765979408,2679.40228521428
1.3,46.3184552079476,900.988847672415,1990.9650552519,2691.67587760841
1.31,45.876217510055,795.703952065198,1852.81559931438,2625.30275596693
1.32,46.6671128106563,695.432870850811,1782.54963315712,2532.78557858708
1.33,47.7818136074303,796.20287962367,1801.20477518023,2580.76384432829
1.34,48.4020444602909,835.921115545474,1851.0198545975,2578.82376280614
1.35,48.6468560035911,758.155248521606,1726.62386350828,2576.22154613979
1.36,48.1811375297122,774.143239671262,1715.12630134336,2688.17304062991
1.37,48.4204460915971,849.331261898102,1667.25535651644,2691.29892698561
1.38,49.3952215980189,953.635891837354,1675.06743601172,2699.67790364363
1.39,49.5905231901127,936.860241171916,1654.77330832917,2687.82862859484
1.4,49.1936459757232,970.809794258307,1689.16129476854,2739.92888435213
1.41,49.0225714922991,1000.44535323023,1812.38264249191,2809.9314924996
1.42,47.1252444838726,804.799988290112,1743.99020882362,2658.08822298304
1.43,39.8725194933395,558.987251829484,1531.86823222719,2217.71733630022
1.44,35.778564986302,375.472533679671,1243.90815915575,1819.26178310287
1.45,34.1036193381969,440.873840869219,1193.43786326011,1793.58818968234
1.46,26.2612828636603,354.21672601804,913.6927001915,1408.09290176195
1.47,20.2598441445654,254.768074421108,682.320212166597,1135.01257903634
1.48,17.0297931527929,188.866188360885,535.311046101671,942.881080238047
1.49,15.7320155518411,128.124925309588,470.331648406441,821.825551228357
1.5,15.3259796783054,132.509300861379,475.66214055133,806.979965829183
1.51,15.411879191704,156.842174166366,484.951448151015,847.987704415524
1.52,15.675617633187,142.318112447436,483.298857949339,839.755250818748
1.53,15.5566462535152,152.423690381854,485.783043491091,774.482097814928
1.54,15.4493324632094,148.488866196289,484.555614743397,742.475262846087
1.55,15.627473595397,147.575415411847,468.421222424472,737.395809412823
1.56,15.6965203848158,153.497711803654,473.655426832042,746.979657093164
1.57,15.5917460356898,160.944299509436,479.892080981843,781.418145142602
1.58,15.756348222852,168.863119139774,481.264752463335,802.13840713618
1.59,15.937309556841,235.121092327147,500.431937900161,850.84604706916
1.6,15.8226020501124,257.59939239508,518.853958445018,859.081496742382
