time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.24,397.32,2120.48,3408.27
0.04,0,57.91,582.81,2027.68,3393.11
0.05,0,59.13,736.58,2040.62,2924.03
0.06,0,60.27,2018.78,3026.79,4226.66
0.07,0,59.14,1720.04,3023.3,4035.52
0.08,0,55.84,216.52,1796.3,2492.14
0.09,0,55.44,200.57,1876.98,2912.89
0.1,0,58.87,172,1797.46,3088.54
0.11,0,62.9,81.15,1750.45,3036.32
0.12,0,66.08,1751.05,3113.27,4147.1
0.13,0,67.62,1815.64,2816.93,4174.86
0.14,0,66.77,515.88,2018.2,3267.12
0.15,0,63.14,1502.87,2849.09,4227.55
0.16,0,59.94,1773.56,3103.73,4027.33
0.17,0,63.19,870,2158.9,3274.62
0.18,0,67.76,605.63,1991.41,3185.86
0.19,0,76.47,394.51,2191.59,3225.72
0.2,135.7,83.36,414.79,2210.95,3111.35
0.21,139.84,86.26,479.61,2174.38,3031.35
0.22,140.53,87.85,566.46,2111.17,2903.64
0.23,139.73,89.46,604.46,2032.58,2937.09
0.24,140.1,90.29,655.86,1949.67,2853.79
0.25,141.33,90.7,691.96,1926.88,2866.66
0.26,143.2,91.04,708.75,1925.14,2978.19
0.27,144.87,91.09,707.19,1904.79,3009.64
0.28,145.54,90.47,688.91,1889.98,3005.75
0.29,145.3,88.23,658,1885.93,2995.07
0.3,144.43,82.99,641.49,1873.23,2654.06
0.31,143.83,75.42,600.92,1841.19,2671.58
0.32,143.67,70.89,639.3,1857.8,2640.83
0.33,143.93,70.85,643.68,1928.93,2575.94
0.34,144.3,72.69,594.69,1996.98,2823.32
0.35,144.71,72.55,636.51,1953.83,2925.15
0.36,145.07,71.18,684.71,1988.91,2812.94
0.37,145.32,69.11,652.11,1900.95,2665.49
0.38,0,67.14,628.8,1807.44,2556.83
0.39,0,66.37,557.86,1901.43,2770.33
0.4,0,65.86,652.04,1887.77,2884.63
0.41,0,64.29,684.36,1905.73,2796.18
0.42,0,63.5,684.21,1924.14,2847.16
0.43,0,65.6,747.63,1780.88,2752.1
0.44,0,68.28,772.86,1717.89,2790.14
0.45,0,68.91,658.63,1718.92,2907.98
0.46,0,66.97,1186.87,1749.9,3300.26
0.47,0,64.04,1045.26,1739.27,2632.92
0.48,0,68.92,872.14,1704.72,2592.78
0.49,142.46,78.04,578.36,1056.43,2362.48
0.5,138.56,83.03,538.34,928.94,2622.74
0.51,132.96,85.17,683.45,807.84,2797.92
0.52,128.39,86.41,201.15,701.33,2866.88
0.53,125.9,87.67,406.87,623.11,2914.04
0.54,124.55,88.01,600.71,628.37,2951.51
0.55,123.48,87.96,567.96,1016.33,2953.73
0.56,122.91,87.99,540.63,1285.53,2963.14
0.57,122.71,87.8,557.99,1258.28,2963.73
0.58,122.39,86.76,586,1048.84,3007.25
0.59,121.68,85.44,623.43,659.37,3085.04
0.6,120.68,84.55,585.26,2771.14,3429.44
0.61,119.87,83.42,611.53,3060.37,3366.17
0.62,119.44,81.62,601.29,3043.81,3429.59
0.63,109.02,79.25,511.91,997.32,3095.96
0.64,102.41,76.11,387.38,678.91,3072.8
0.65,100.79,73.66,445.79,786.42,3028.78
0.66,0,71.57,585.92,1672.02,3261.6
0.67,0,69.99,604.43,1780.84,3339.95
0.68,0,70.81,505.33,1699.34,3440.01
0.69,0,71.41,420.96,1853.68,3499.38
0.7,0,69.71,454.17,1850.77,3539.25
0.71,0,67.74,554.81,1811.27,3409.64
0.72,0,66.81,548.72,1749.84,3317.85
0.73,0,65.16,619.4,1898.89,3157.05
0.74,0,65.26,1632.53,2977.52,4148.47
0.75,449.46,65.35,645.56,2101.9,3265.47
0.76,449.45,63.94,412.46,1897.96,3061.58
0.77,450.88,62.37,454.18,1979.18,3003.12
0.78,386.31,60.96,467.39,1926.38,3037.84
0.79,355.14,59.58,343.19,1858.1,3014.2
0.8,356.49,59.04,221.63,1934.08,3025.6
0.81,0,59.1,1883.02,3093.2,4505.33
0.82,0,61.43,1946.94,2800.39,3123.53
0.83,0,71.72,2046.13,3009.02,3914.38
0.84,155.08,79.21,309.49,2204.36,2757.59
0.85,155.34,81.69,324.42,2370.64,2847.39
0.86,160.84,81.33,325.32,2457.7,2971.45
0.87,163.58,79.68,326.68,2541.91,2850.09
0.88,163.2,77.6,324.82,2601.38,2940.91
0.89,158.46,75.18,326.74,2530.75,2883.28
0.9,152.07,74.4,307.91,2447.28,2767.33
0.91,145.88,74.25,297.01,2464.5,2841.28
0.92,135.6,73.79,282.99,2541.87,2780.93
0.93,128.53,74.97,281.98,2705.54,3024.04
0.94,123.7,76.31,268.65,2673.44,3135.54
0.95,118.57,77.81,254.8,2713.8,3208.13
0.96,115.5,78.21,251.22,2714.84,2777.77
0.97,0,75.8,282.58,2693.96,3190.82
0.98,0,71.93,287.81,2660.67,3230.2
0.99,0,68.72,267.72,2624.66,3142.41
1,0,66.19,288.18,2339.06,2790.96
1.01,0,65.15,278.18,2610.44,3200.87
1.02,0,64.09,320.26,2695.03,3334.14
1.03,0,63.32,306.3,2602.84,3419.21
1.04,0,62.14,279.61,2720.24,3434.74
1.05,0,59.97,316.23,2613.43,3277.58
1.06,0,63.72,1934.39,2357.14,3412.92
1.07,0,68.34,744.59,2151.07,3167.22
1.08,0,67.96,1872.59,3019.48,4007.7
1.09,0,65.4,755.27,2252.37,3187.82
1.1,0,61.53,625.1,2108.94,3098.42
1.11,0,59.67,722.23,2052.29,3085.34
1.12,0,62.57,435.32,1969.64,3105.4
1.13,0,63.14,804.01,1950.03,3109.26
1.14,395.27,60.97,544.89,1987.89,3137.57
1.15,435.78,62.12,1731.66,2799.86,3920.86
1.16,453.36,63.94,1741.73,2809.12,3449.82
1.17,452.88,61.94,1798.76,2887.26,3590.14
1.18,0,57.34,460.11,1834.88,3068.27
1.19,0,55.58,361.52,1811.64,2878.63
1.2,0,60.7,276.97,1796.68,2906.11
1.21,0,63.43,1682.34,2836.04,3473.63
1.22,0,63,1719.42,2882.92,3528.52
1.23,0,63.44,1662.99,2794.04,3768.19
1.24,0,64.26,1715.77,2839.37,3932.13
1.25,0,64.28,1661.8,2811.32,3887.75
1.26,0,64.16,1642.7,2779.86,3905.65
1.27,0,61.38,1638.61,2868.22,4072.29
1.28,0,58.03,257.18,1589.87,2767.38
1.29,0,57.94,185.16,1735.8,2843.5
1.3,0,61.5,1661.66,2922.38,3194.25
1.31,0,64.23,362.43,1960.3,3007.93
1.32,0,65.67,313.69,1812.84,2970.95
1.33,0,66.35,1396.08,2673.88,3813.92
1.34,0,65.81,323.94,1970.4,2905.99
1.35,0,62.66,367.43,1841.31,3080.82
1.36,0,59.52,74.24,2025.66,3154.38
1.37,0,58.43,1956.04,2826.27,4126.97
1.38,0,60.83,1694.19,2593.63,4005.36
1.39,0,0,494.21,2110.78,3188.08
1.4,0,0,0,0,0
1.41,0,0,0,0,0
